timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1737042705288,653,Search Rule,200,,Http URL/API Test 1-14,text,true,,25952,1094,32,32,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/iot2/userrules?sortKey=createdTime&keyType=SERVER_ATTRIBUTE&sortDirection=DESC&pageNumber=3&pageSize=16,652,0,0
1737042655111,50980,Get the List of Alerts,200,,Http URL/API Test 1-13,text,true,,6746,1332,32,32,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/alerts?lang=en&pageNumber=2&pageSize=8&sortKey=createdTime&sortDirection=DESC&timeZone=Asia%2FRiyadh,50980,0,0
1737042704587,1539,Search Users,200,,Http URL/API Test 1-3,text,true,,21533,1089,32,32,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/iot2/users?pageNumber=4&pageSize=8&sortKey=createdTime&keyType=SERVER_ATTRIBUTE&sortDirection=DESC,1536,0,0
1737042705907,728,Search Rule,200,,Http URL/API Test 1-38,text,true,,24963,1094,32,32,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/iot2/userrules?sortKey=createdTime&keyType=SERVER_ATTRIBUTE&sortDirection=DESC&pageNumber=4&pageSize=16,727,0,0
1737042705044,1591,Get List of Cities,200,,Http URL/API Test 1-18,text,true,,458,1103,32,32,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/iot2/level/city?lang=en&pageNumber=4&pageSize=16&sortKey=createdTime&sortDirection=DESC&keyType=SERVER_ATTRIBUTE,1591,0,0
1737042705941,768,Get List of Zones,200,,Http URL/API Test 1-14,text,true,,1969,1154,32,32,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/zones?sortKey=status&sortDirection=ASC,768,0,0
1737042706635,440,Get List of Regions,200,,Http URL/API Test 1-18,text,true,,458,1105,32,32,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/iot2/level/region?lang=en&pageNumber=5&pageSize=16&sortKey=createdTime&sortDirection=DESC&keyType=SERVER_ATTRIBUTE,440,0,0
1737042665304,42775,Search Devices for List For Map,200,,Http URL/API Test 1-43,text,true,,5372,1100,32,32,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/devices/map/list?pageSize=16&pageNumber=2&sortKey=status&sortDirection=DESC,42775,0,0
1737042706710,3067,Get List of Alert Profiles,200,,Http URL/API Test 1-14,text,true,,457,1193,32,32,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/alertprofiles?pageNumber=3&pageSize=16&sortKey=createdTime&sortDirection=ASC,3067,0,0
1737042706635,3482,Get List of Cities,200,,Http URL/API Test 1-38,text,true,,13905,1103,32,32,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/iot2/level/city?lang=en&pageNumber=1&pageSize=16&sortKey=createdTime&sortDirection=DESC&keyType=SERVER_ATTRIBUTE,3481,0,0
